Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3U9Gb5SvNcTgIGlFBk9HF5,"אח מילת מפתח","המיטב","Arik Einstein;Shem-Tov Levy",2015-03-10,262933,13,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.592,0.353,6,-9.807,0,0.0296,0.679,0,0.0978,0.182,119.22,4
spotify:track:59PqaCGqD4E8jGM1Ih6321,"האור בקצה","המיטב","Arik Einstein;Shem-Tov Levy",2015-03-10,262200,12,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.547,0.527,9,-8.017,0,0.0262,0.406,0,0.13,0.399,111.13,3
spotify:track:2Ezv2jFLqzGh2atsgJXNvc,"כל אחד רוצה","המיטב","Arik Einstein;Shalom Hanoch",2015-03-10,193333,7,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.498,0.559,5,-8.039,1,0.0379,0.651,0.00000727,0.113,0.0863,130.401,4
spotify:track:1YI8sXCQp7QQzZHaNLLRf2,"שמור על עצמך","המיטב","Arik Einstein;Shalom Hanoch",2015-03-10,225466,4,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.346,0.441,11,-9.964,0,0.0291,0.4,0.00142,0.104,0.261,166.38,4
spotify:track:6TNBU3DoMBgAsKJrknR0NN,"גיטרה וכינור","המיטב","Arik Einstein;Shalom Hanoch",2015-03-10,216466,14,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.536,0.392,4,-10.797,1,0.0264,0.842,0.0306,0.119,0.38,73,4
spotify:track:750PC9E4nU32mTN08X8d1q,"פוליטיקה","המיטב","Arik Einstein;Micha Shitrit",2015-03-10,270480,10,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.806,0.525,7,-10.785,1,0.0325,0.782,0.111,0.0835,0.88,129.042,4
spotify:track:4lQqRh4HK8qZwnw3OEJaos,"שחורה שלי","המיטב","Arik Einstein",2015-03-10,216746,6,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.602,0.74,0,-7.427,0,0.0314,0.47,0.0166,0.215,0.624,103.99,4
spotify:track:1h40X8o0krfdmb5YQ35Bsg,"ואת חוזרת לשלכת","המיטב","Arik Einstein",2015-03-10,232653,5,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.658,0.466,4,-8.922,0,0.0307,0.693,0.0000362,0.205,0.38,117.942,4
spotify:track:5mOlL4lnVrBp4QizQIMWyt,"רוקד את הטנגו לבד","המיטב","Arik Einstein;Guy Bukati",2015-03-10,216413,15,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.551,0.357,4,-8.923,0,0.0395,0.85,0.000028,0.138,0.259,145.922,4
spotify:track:0XRMHkSWDTb7cxDbt7apqy,"פשוט אומר לך","המיטב","Arik Einstein;Guy Bukati",2015-03-10,189333,5,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.677,0.57,0,-8.179,1,0.0485,0.835,0.00000482,0.105,0.61,77.008,4
spotify:track:02QRsyxSzeA2Qfiy1zgZ2C,"צליל מכוון","המיטב","Arik Einstein",2015-03-10,202746,9,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.602,0.495,7,-8.891,0,0.0265,0.451,0.0084,0.0999,0.492,135.939,4
spotify:track:22ZWl749pTgVFrievwzX00,"מעבדות לחרות","המיטב","Arik Einstein",2015-03-10,229093,5,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.542,0.543,2,-8.665,1,0.0284,0.464,0.000234,0.296,0.436,75.962,4
spotify:track:1buLkGZPF3jL4gE75YBQyi,"חוזרים הביתה","המיטב","Shlomo Artzi;Arik Einstein",2015-03-10,220333,10,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.576,0.478,11,-7.488,0,0.0446,0.852,0,0.106,0.402,77.776,4
